"%s message(s) discarded.","%s message(s) discarded."
"%s message(s) re-queued.","%s message(s) re-queued."
"0 keeps failed messages forever.","0 keeps failed messages forever."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days."
"Action","Action"
"Available (UTC)","Available (UTC)"
"Available","Available"
"Back","Back"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools."
"Body (serialized)","Body (serialized)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Completed"
"Discard Messages","Discard Messages"
"Discard","Discard"
"Each retry waits this many times longer than the previous one.","Each retry waits this many times longer than the previous one."
"Error","Error"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Failed messages are retried this many times with exponential backoff, then marked failed."
"Failed","Failed"
"ID","ID"
"Initial Retry Delay (seconds)","Initial Retry Delay (seconds)"
"Keep Completed Messages (days)","Keep Completed Messages (days)"
"Keep Failed Messages (days)","Keep Failed Messages (days)"
"Max Retries","Max Retries"
"Max Retry Delay (seconds)","Max Retry Delay (seconds)"
"Message #%s","Message #%s"
"Message Class","Message Class"
"Message Details","Message Details"
"Message Queue","Message Queue"
"Message discarded.","Message discarded."
"Message not found.","Message not found."
"Message re-queued.","Message re-queued."
"Message","Message"
"Only failed or stuck messages can be retried.","Only failed or stuck messages can be retried."
"Pending","Pending"
"Permanently delete the selected messages?","Permanently delete the selected messages?"
"Permanently delete this message?","Permanently delete this message?"
"Processed (UTC)","Processed (UTC)"
"Processing","Processing"
"Queue","Queue"
"Queued (UTC)","Queued (UTC)"
"Queued","Queued"
"Re-queue the selected messages?","Re-queue the selected messages?"
"Re-queue this message?","Re-queue this message?"
"Retries","Retries"
"Retry Delay Multiplier","Retry Delay Multiplier"
"Retry Messages","Retry Messages"
"Retry","Retry"
"Status","Status"
"Upper bound for the backoff. 0 means no bound.","Upper bound for the backoff. 0 means no bound."
"View Messages","View Messages"
"View","View"
