"""Accept Revocation"" applies the revocation_accepted order status and opens the credit memo page. ""Reject Revocation"" applies the revocation_rejected status. Neither changes the order state, and no refund happens automatically.","""Accept Revocation"" applies the revocation_accepted order status and opens the credit memo page. ""Reject Revocation"" applies the revocation_rejected status. Neither changes the order state, and no refund happens automatically."
"(not processed yet)","(not processed yet)"
"0 disables the limit.","0 disables the limit."
"Abuse Protection","Abuse Protection"
"Accepted","Accepted"
"Accept Revocation","Accept Revocation"
"Accept this revocation? The matched order (if any) will be set to the revocation_accepted status.","Accept this revocation? The matched order (if any) will be set to the revocation_accepted status."
"A confirmation email is on its way to you.","A confirmation email is on its way to you."
"Back","Back"
"Button Label","Button Label"
"Continue shopping","Continue shopping"
"Cooling-Off Period (Days)","Cooling-Off Period (Days)"
"CSV","CSV"
"Customer Name","Customer Name"
"Customer Receipt Template","Customer Receipt Template"
"Customer submitted revocation request #%s via their account.","Customer submitted revocation request #%s via their account."
"Custom Label","Custom Label"
"Declaration (read-only legal record)","Declaration (read-only legal record)"
"Email","Email"
"Email Sender","Email Sender"
"Email Settings","Email Settings"
"Email Suppressed","Email Suppressed"
"Enabled","Enabled"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides the legally required channel; the existing withdrawal information page and PDF withdrawal form remain mandatory and unchanged.<br/><br/>To display the button on the storefront, insert the <strong>Revocation Button</strong> widget into your footer (or any block that stays visible throughout the withdrawal period).","EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides the legally required channel; the existing withdrawal information page and PDF withdrawal form remain mandatory and unchanged.<br/><br/>To display the button on the storefront, insert the <strong>Revocation Button</strong> widget into your footer (or any block that stays visible throughout the withdrawal period)."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit."
"General","General"
"I hereby revoke this contract","I hereby revoke this contract"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number."
"Information Requested","Information Requested"
"Internal Note","Internal Note"
"Invalid decision.","Invalid decision."
"Invalid form key. Please refresh the page and try again.","Invalid form key. Please refresh the page and try again."
"IP Address","IP Address"
"Leave empty to use the General Contact email address.","Leave empty to use the General Contact email address."
"Leave empty to use the label configured under Sales > Revocation Button.","Leave empty to use the label configured under Sales > Revocation Button."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"")."
"Leave this field empty","Leave this field empty"
"Link Order","Link Order"
"Link to order (increment ID):","Link to order (increment ID):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period."
"Locale","Locale"
"Mark as Accepted","Mark as Accepted"
"Mark as Rejected","Mark as Rejected"
"Mark the selected requests as accepted? Order statuses are not changed by this action.","Mark the selected requests as accepted? Order statuses are not changed by this action."
"Mark the selected requests as rejected? Order statuses are not changed by this action.","Mark the selected requests as rejected? Order statuses are not changed by this action."
"Matched Order","Matched Order"
"Merchant Notification Email","Merchant Notification Email"
"Merchant Notifications per Store per Hour","Merchant Notifications per Store per Hour"
"Merchant Notification Template","Merchant Notification Template"
"Minimum Submit Time (Seconds)","Minimum Submit Time (Seconds)"
"Must only acknowledge receipt of the declaration, never acceptance.","Must only acknowledge receipt of the declaration, never acceptance."
"Name","Name"
"No","No"
"No (self-asserted via the public form)","No (self-asserted via the public form)"
"No order could be matched to this request. The customer typed ""%s"".","No order could be matched to this request. The customer typed ""%s""."
"No order found for increment ID ""%s"".","No order found for increment ID ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits). Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits). Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked."
"Order","Order"
"Order Number","Order Number"
"Order Reference","Order Reference"
"Please enter a valid email address.","Please enter a valid email address."
"Please fill in your name, your order reference and your email address.","Please fill in your name, your order reference and your email address."
"Please select request(s).","Please select request(s)."
"Processed At","Processed At"
"Processed Status","Processed Status"
"Processing","Processing"
"Process Requests","Process Requests"
"Reason","Reason"
"Reason (optional)","Reason (optional)"
"Receipt Emails per Recipient per Day","Receipt Emails per Recipient per Day"
"Received","Received"
"Received at","Received at"
"Received at (UTC)","Received at (UTC)"
"Reference number","Reference number"
"Rejected","Rejected"
"Reject Revocation","Reject Revocation"
"Reject this revocation? The matched order (if any) will be set to the revocation_rejected status.","Reject this revocation? The matched order (if any) will be set to the revocation_rejected status."
"Request #%s","Request #%s"
"Resend Receipt Email","Resend Receipt Email"
"Resend the receipt email to %s?","Resend the receipt email to %s?"
"Revocation Button","Revocation Button"
"Revocation Form","Revocation Form"
"Revocation Merchant Notification","Revocation Merchant Notification"
"Revocation Receipt Confirmation","Revocation Receipt Confirmation"
"Revocation received","Revocation received"
"Revocation Request","Revocation Request"
"Revocation Request #%s","Revocation Request #%s"
"Revocation request #%s accepted.","Revocation request #%s accepted."
"Revocation request #%s rejected.","Revocation request #%s rejected."
"Revocation Requests","Revocation Requests"
"Revocation Success","Revocation Success"
"Revoke contract","Revoke contract"
"Revoke this contract","Revoke this contract"
"Sales","Sales"
"Save Note","Save Note"
"Store View","Store View"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check."
"Submissions per IP per Hour","Submissions per IP per Hour"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage."
"The receipt email could not be sent. Please check the email configuration.","The receipt email could not be sent. Please check the email configuration."
"The receipt email has been resent to %s.","The receipt email has been resent to %s."
"The request has been linked to order %s.","The request has been linked to order %s."
"The revocation has been marked as accepted.","The revocation has been marked as accepted."
"The revocation has been marked as rejected.","The revocation has been marked as rejected."
"The revocation request has been saved.","The revocation request has been saved."
"This revocation request no longer exists.","This revocation request no longer exists."
"Total of %d request(s) were updated.","Total of %d request(s) were updated."
"Used to gate the my-account entry point. The statutory period is 14 days.","Used to gate the my-account entry point. The statutory period is 14 days."
"User Agent","User Agent"
"Verified","Verified"
"View Request","View Request"
"View Requests","View Requests"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately."
"Yes","Yes"
"Yes (submitted from an authenticated customer session)","Yes (submitted from an authenticated customer session)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received."
"Your request could not be processed right now. Please try again later or contact us directly.","Your request could not be processed right now. Please try again later or contact us directly."
"Your revocation has been received","Your revocation has been received"
