"Additional Product Attributes","Additional Product Attributes"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Authentication Type"
"Auth Token","Auth Token"
"Bearer Token","Bearer Token"
"Custom Header","Custom Header"
"Custom Header Name","Custom Header Name"
"Debug Mode","Debug Mode"
"Displayed Error Message","Displayed Error Message"
"Enabled","Enabled"
"None","None"
"Request Timeout (seconds)","Request Timeout (seconds)"
"Select product attributes to include in the API request payload.","Select product attributes to include in the API request payload."
"Shipping Bridge","Shipping Bridge"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Sort Order","Sort Order"
"Title","Title"
